comment,user_name,date
"Sigue siendo el mejor reggaeton y la mejor colaboración del mundo, todos quisimos por años que Bad Bunny y Feid colaboraran, ahora nos hace falta un álbum juntos, de puro perreo intenso como este, el beat es oscuro, increíble, un álbum con beats parecidos de ellos dos sería algo histórico. Generaciones lo recordarían!",@SamuelSantos-pb4dm,2025-02-27T02:22:59Z
i beat walls,@leonniculai4584,2025-01-21T11:40:51Z
Nunca escuché a este famoso reguetonero .Es la 1ra vez y es una verdadera miegda de letra solo se salva el bajo hecho x unaa computadora este tipo no es cantante es un embaucador!!,@rubenangelcorina103,2024-09-21T19:05:50Z
Generic trapeton,@kkfoto,2024-08-13T19:18:20Z
Quien produce?? Está zarpado el beat,@booshieonfire,2024-06-29T22:54:56Z
Soy yo o en El Momento 1:15 me Suena El Beat de Que Malo 😮 del team de YHLQMDLG,@Anthony_el_tiguere,2024-06-28T20:37:11Z
"University of Georgia water baptisms amazing grace share unity repentance matthew 18 verse 18-20, psalm 81 - 7-14",@AnyqUpjq,2024-05-06T16:41:49Z
I'm here from 2k lmao the beat and song is 🔥🔥🔥🔥 i love the beat plz tell me more songs with this kind of beats plz,@samfugler8164,2024-05-03T12:11:36Z
Nossa que vibe,@imcqjota,2024-02-28T06:55:44Z
"That beat is fuckin increíble, dios mio!",@niceyesplease,2023-11-14T09:09:59Z
"el unico track que me gusto del album, no es malo igual, pero soy mas fan del bad bunny reggeatonero",@PevXD2013lol,2023-11-06T15:03:44Z
jesus christ what happened to real reggaeton..this is SHIT! a high pitched gay voice on a autotune with a pop melody and beat on the background.. my god ..rip reggaeton 2010,@elzinga87,2023-11-03T23:29:44Z
Con ese beat no importa la basura que dicen en la letra y menos la basura de voces autotune qué usan siempre. Tremenda pista!,@AndresDrx,2023-10-31T23:41:49Z
"Se nota, que la voz de feid, no tiene tanto autone, se nota la diferencia , entre las 2 voces con bunni",@15Krem,2023-10-28T10:00:06Z
Medio beat loco !! Debieron alargar mas el final esta brutal el tema k.l.o,@jorgeplaza4706,2023-10-27T10:47:22Z
The beats the beat🐰,@nathanelvoraz,2023-10-23T19:30:26Z
"The way this artist created the MV is truly impressive, beating all my predictions 😍👍",@jiezouzhixin02,2023-10-23T07:07:30Z
"Literally every Spanish song has this same beat and sounds exactly like this, it's so unoriginal",@sarthakjain1824,2023-10-20T11:02:48Z
Cualquier canción que tenga el beat de la vieja escuela está condenada a ser un éxito 🎉🎉🎉,@eusebiocanogutierrez493,2023-10-19T00:55:08Z
"Que malos temad que estan sacando ultimamente, un regueton tan generico ya, falta el bad bunny de antes",@davidibarra416,2023-10-18T18:48:35Z
dónde se mete Feid rompe el Beat 🔥🔥🔥🔥,@Kalycho26Music,2023-10-17T23:07:15Z
"Esta canción debió empezarla Rick Ross , por la primera voz y por el beat , es un beat pesao para una voz tan sensilla",@Chenko69_96,2023-10-14T20:43:05Z
El mundo se volvió loco. ¿Qué vendrá mañana? ¿unos eructos y pedos arreglados con autotune?,@marcelovergara2436,2023-10-14T14:26:31Z
Tempo NFT 2 🔥,@elchapomillones1970,2023-10-14T13:35:21Z
Mooor tamto hemos esperado para esto ests colab es legendaria los dos reggaetoneros mas grandes del momento junto con rauw ahora pongamosla en primer lugar mundial escuchenla y compartenla tanto la hemos pedido esto es una obra de arte hermosa feid ft bsd buny por fin q hptaaa mor aparte esta muy buena esto ya rompio va a der hit la cancion del año minimo cien millones en un mes de vistas mor no le temas a la oscuridad q nadie sabe lo q va a pasar mañana🔥💚💚💚💚☝️😩😩😩,@eltigremamii91,2023-10-14T05:53:59Z
Le metió muy sabrooooo a ese beat,@ggbuffonelmejor1177,2023-10-14T04:46:49Z
Pensé que el Ferxxo se montaría en un beat de trap JAJSKAK 🥲,@ElCulio,2023-10-13T20:02:59Z
Boa Bad Bunny. Gostei da vibe,@glendadelfy1740,2023-10-13T20:02:57Z
muy corta la cancion al ferxxo le falto beat,@ELVERGALARGA-go1sc,2023-10-13T14:55:01Z
Yo tenía que romper el se beat 🔥,@arielhombremusica,2023-10-13T06:12:13Z
"Bad Bunny está incorporando en nuestra cultura hasta el tuétano, inclusive por sus mismos detractores. Cuando se habla de música en la mesa o en la fiesta, siempre sale a relucir su nombre. He visto a personas discutir por ello a muerte, (a mí hasta el divorcio me están pidiendo). Pienso como mujer de casi 40 años, que las personas liberales de mi época, se convirtieron en conservadoras. A mí me gusta mucho Bad Bunny y vaya que soy muy Pink Floyd, Bowie, Beatles, Alan Parsons, Paganini y más, aclaro esto para las personas que tienen la falsa idea de que si te gusta el reguetón o el trap, es porque no conoces de música. Es una pena que no puedan tener la capacidad de extender sus gustos musicales, hace falta escuchar sin prejuicio y más con el corazón. Te amo Bad Bunny y si lees esto quiero decirte que ya estoy casi divorciada. 🙈😂🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤",@venustiana1643,2023-10-13T04:46:21Z
El mejor reggaetonero del mundo ❤️❤️❤️❤️😭,@joseluissantana2131,2023-10-13T04:01:31Z
