comment,user_name,date
Que es el beat de? Where’s the sample from,@why_y785,2024-09-19T19:09:13Z
"Vestibulum tempor, odio et fermentum.",@HECTORJOAQUIN779,2024-07-11T19:58:19Z
Mr Autotune,@JuanCampo-y6g,2024-06-18T19:44:51Z
Arriba el auto autotune,@almadelia4559,2024-06-16T16:59:07Z
Duro autotune..no canta na,@davidcantos8746,2024-05-01T21:28:30Z
Este temazo es lo que yo llamo un SUPERCLÁSICO ATEMPORAL. Obra Maestra incontestable para los que han tenido algún revés en el díscolo amor. BRUTAL!!!!!,@AlbertDíezRuiz-l6w,2024-04-14T11:09:12Z
"Ayayai,el rico autotune,reververacion,pero no se puede negar que suena bien y la letra ta buena . Mis felicidades a los ing. De sonido, buena song.",@cesarhernandez7303,2024-03-29T11:31:38Z
Soy el único que piensa que esta canción tiene el vibe como de una canción que podría cantar Justin Bieber? No se si me hago entender. Tipo algo de di snake,@charlietorres3914,2024-03-24T19:47:49Z
"La unica cancion de reguetón nuevo que me gusta, tiene una produccion musical muy limpia además de poquito autotune",@Pablito-td3pw,2024-02-22T13:28:23Z
amooo el depresynthon de Ferxoo,@beatrizanzolaferrer2679,2024-02-18T18:34:35Z
COmo siempre el mismo regeton lacra... todas iguales y con autotune. Musica bodria,@alfonsoperu,2024-02-15T02:52:13Z
autotune a full xd,@Adrianleemendescortes,2024-02-07T05:01:01Z
https://youtube.com/@PradeepMangalore?si=pgVCOoICBKm4HNaP,@PradeepMangalore,2024-02-02T03:53:14Z
nada que ver con bad bunny y otros reguetoneros.,@TheDanny-Gamer,2024-01-21T18:42:54Z
Lo dijo el xocas el mejor reggaetonero es el ferxxo. Bad bunny me la pela,@andresamayaarchila420,2024-01-12T19:04:09Z
Feid is such a vibe,@ZackRoberts30,2024-01-12T14:23:25Z
Las canciones de ferxooo hacen que uno quiera Valverse a enamorar 😊,@tatianaperalta1978,2024-01-11T00:11:45Z
la voz es 99% autotune!   donde está el talento ?  la cancion si me gusta!  pero necesitamos mas profesionalismo!,@JorgeCaro-zd8bo,2024-01-07T20:29:18Z
Este tema merece un beat mas romantico y quedaria duricimo.,@thegoldenbrothers,2024-01-07T02:35:38Z
siento que el sample del beat lo he escuchado en otra canción,@kalvin5550,2023-12-30T08:38:07Z
"Hermano, nadie habla del tremendo beat aaaaaa 10/10",@sergioadolfo2872,2023-12-30T05:31:47Z
Me suena a otra cancion el beat pero no se cual es. Ayuda?,@Madsexday,2023-12-29T02:57:15Z
Que buena canción 😢 tiene un vibe de nostalgia 😭,@cristian_glow,2023-12-18T18:35:39Z
LA MEJOR CANCIÓN NOSTALGICA DEL AÑO SIN DUDA.,@AlvaroMartinez-kr9jv,2023-12-15T04:48:27Z
"Soy yo o tiene vibes de “PORFA”, temazooooo, ojalá pronto se le dé el reconocimiento que merece!",@AvitySai,2023-12-09T14:44:54Z
Vibes El cuarto del ferxxo vol 1,@POCUV98,2023-12-01T19:48:27Z
"Me gusta la letra pero no el beat, la letra es triste tiene que ir con un beat triste :(",@parayt3230,2023-12-01T03:23:29Z
"mi favorita del álbum, da vibes de feid 2020, este es feid y no ferxxo💚💚",@ANDRES19244,2023-12-01T03:15:20Z
